'em	() An obsolete or colloquial contraction of the old form hem, them.
-en	() A suffix from AS. -an, formerly used to form the plural of many nouns, as in ashen, eyen, oxen, all obs. except oxen. In some cases, such as children and brethren, it has been added to older plural forms.
-en	() A suffix corresponding to AS. -en and -on, formerly used to form the plural of verbs, as in housen, escapen.
-en	() A suffix signifying to make, to cause, used to form verbs from nouns and adjectives; as in strengthen, quicken, frighten. This must not be confused with -en corresponding in Old English to the AS. infinitive ending -an.
-en	() An adjectival suffix, meaning made of; as in golden, leaden, wooden.
-en	() The termination of the past participle of many strong verbs; as, in broken, gotten, trodden.
-ence	() A noun suffix signifying action, state, or quality; also, that which relates to the action or state; as in emergence, diffidence, diligence, influence, difference, excellence. See -ance.
-ency	() A noun suffix having much the same meaning as -ence, but more commonly signifying the quality or state; as, emergency, efficiency. See -ancy.
-ent	() An adjective suffix signifying action or being; as, corrodent, excellent, emergent, continent, quiescent. See -ant.
-er	() .
-er	() The termination of many English words, denoting the agent; -- applied either to men or things; as in hater, farmer, heater, grater. At the end of names of places, -er signifies a man of the place; as, Londoner, i. e., London man.
-er	() A suffix used to form the comparative degree of adjectives and adverbs; as, warmer, sooner, lat(e)er, earl(y)ier.
-escent	() A suffix signifying beginning, beginning to be; as, adolescent, effervescent, etc.
-esprits	(pl. ) of Bel-esprit
-esque	() A suffix of certain words from the French, Italian, and Spanish. It denotes manner or style; like; as, arabesque, after the manner of the Arabs.
-ess	() A suffix used to form feminine nouns; as, actress, deaconess, songstress.
-est	() A suffix used to form the superlative of adjectives and adverbs; as, smoothest; earl(y)iest.
-et	() A noun suffix with a diminutive force; as in baronet, pocket, facet, floweret, latchet.
-ferous	() A suffix signifying bearing, producing, yielding; as, auriferous, yielding gold; chyliferous, producing chyle.
-fish	(pl. ) of Crayfish
-fishes	(pl. ) of Crayfish
-ful	(a.) A suffix signifying full of, abounding with; as, boastful, harmful, woeful.
-fy	() A suffix signifying to make, to form into, etc.; as, acetify, amplify, dandify, Frenchify, etc.
-gen	() A suffix used in scientific words in the sense of producing, generating: as, amphigen, amidogen, halogen.
-gen	() A suffix meaning produced, generated; as, exogen.
-genous	() A suffix signifying producing, yielding; as, alkaligenous; endogenous.
-gerous	() A suffix signifying bearing, producing; as, calcigerous; dentigerous.
-gies	(pl. ) of Lethargy
-gies	(pl. ) of Martyrology
-goes	(pl. ) of Archipelago
-gos	(pl. ) of Archipelago
-gram	() A suffix indicating something drawn or written, a drawing, writing; -- as, monogram, telegram, chronogram.
-graphy	() A suffix denoting the art of writing or describing; also, the writing or description itself; a treatise; as, calligraphy, biography, geography.
-grave	() A final syllable signifying a ruler, as in landgrave, margrave. See Margrave.
-head	(suffix.) A variant of -hood.
-hood	() A termination denoting state, condition, quality, character, totality, as in manhood, childhood, knighthood, brotherhood. Sometimes it is written, chiefly in obsolete words, in the form -head.
-ible	() See -able.
-ic	() A suffix signifying, in general, relating to, or characteristic of; as, historic, hygienic, telegraphic, etc.
-ic	() A suffix, denoting that the element indicated enters into certain compounds with its highest valence, or with a valence relatively higher than in compounds where the name of the element ends in -ous; as, ferric, sulphuric. It is also used in the general sense of pertaining to; as, hydric, sodic, calcic.
-ical	(a.) Alt. of ical
-ical	(a.) See Stratographic.
-ics	() A suffix used in forming the names of certain sciences, systems, etc., as acoustics, mathematics, dynamics, statistics, politics, athletics.
-ide	() A suffix used to denote: (a) The nonmetallic, or negative, element or radical in a binary compound; as, oxide, sulphide, chloride. (b) A compound which is an anhydride; as, glycolide, phthalide. (c) Any one of a series of derivatives; as, indogenide, glucoside, etc.
-ies	(pl. ) of Boothy
-ies	(pl. ) of Seigniory
-ies	(pl. ) of Smithery
-in	() A suffix. See the Note under -ine.
-ine	() A suffix, indicating that those substances of whose names it is a part are basic, and alkaloidal in their nature.
-ine	() A suffix, used to indicate hydrocarbons of the second degree of unsaturation; i. e., members of the acetyline series; as, hexine, heptine, etc.
-ing	() A suffix used to from present participles; as, singing, playing.
-ing	() A suffix used to form nouns from verbs, and signifying the act of; the result of the act; as, riding, dying, feeling. It has also a secondary collective force; as, shipping, clothing.
-ing	() A suffix formerly used to form diminutives; as, lording, farthing.
-ion	() A noun suffix denoting act, process, result of an act or a process, thing acted upon, state, or condition; as, revolution, the act or process of revolving; construction, the act or process of constructing; a thing constructed; dominion, territory ruled over; subjection, state of being subject; dejection; abstraction.
-ise	() See -ize.
-ish	() A suffix used to from adjectives from nouns and from adjectives. It denotes relation, resemblance, similarity, and sometimes has a diminutive force; as, selfish, boyish, brutish; whitish, somewhat white.
-ish	() A verb ending, originally appearing in certain verbs of French origin; as, abolish, cherish, finish, furnish, garnish, impoverish.
-ism	() A suffix indicating an act, a process, the result of an act or a process, a state; also, a characteristic (as a theory, doctrine, idiom, etc.); as, baptism, galvanism, organism, hypnotism, socialism, sensualism, Anglicism.
-ist	() A noun suffix denoting an agent, or doer, one who practices, a believer in; as, theorist, one who theorizes; socialist, one who holds to socialism; sensualist, one given to sensuality.
-ite	() A suffix denoting one of a party, a sympathizer with or adherent of, and the like, and frequently used in ridicule; as, a Millerite; a Benthamite.
-ite	() A suffix used in naming minerals; as, chlorite, from its characteristic green color; barite, from its heaviness; graphite, from its use in writing.
-ite	() A suffix used to denote the salts formed from those acids whose names end in -ous; as, sulphite, from sulphurous; nitrite, from nitrous acid, etc.
-itis	() A suffix used in medical terms to denote an inflammatory disease of; as, arthritis; bronchitis, phrenitis.
-ive	() An adjective suffix signifying relating or belonging to, of the nature of, tending to; as affirmative, active, conclusive, corrective, diminutive.
-ize	() A verb suffix signifying to make, to do, to practice; as apologize, baptize, theorize, tyrannize.
-la	(pl. ) of Interoperculum
-lae	(pl. ) of Lingula
-lea	(pl. ) of Mausoleum
-less	() A privative adjective suffix, denoting without, destitute of, not having; as witless, childless, fatherless.
-let	() A noun suffix having a diminutive force; as in streamlet, wavelet, armlet.
-ling	() A noun suffix, commonly having a diminutive or a depreciatory force; as in duckling, gosling, hireling, fosterling, firstling, underling.
-ling	() An adverbial suffix; as, darkling, flatling.
-lite	() Combining forms fr. Gr. li`qos a stone; -- used chiefly in naming minerals and rocks.
-lith	() Alt. of -lite
-logy	() A combining form denoting a discourse, treatise, doctrine, theory, science; as, theology, geology, biology, mineralogy.
-ly	(a.) A suffix forming adjectives and adverbs, and denoting likeness or resemblance.
-mancy	() A combining form denoting divination; as, aleuromancy, chiromancy, necromancy, etc.
-men	(pl. ) of Bedesman
-men	(pl. ) of Gownman
-men	(pl. ) of Handcraftsman
-men	(pl. ) of Handi-craftsman
-men	(pl. ) of Henchman
-men	(pl. ) of Herdsman
-men	(pl. ) of High-churchman
-men	(pl. ) of Light-horseman
-men	(pl. ) of Lightman
-men	(pl. ) of Low-churchman
-men	(pl. ) of Orangeman
-men	(pl. ) of Ribbonman
-men	(pl. ) of Robertsman
-men	(pl. ) of Signalman
-men	(pl. ) of Tripeman
-ment	() A suffix denoting that which does a thing; an act or process; the result of an act or process; state or condition; as, aliment, that which nourishes, ornament, increment; fragment, piece broken, segment; abridgment, act of abridging, imprisonment, movement, adjournment; amazement, state of being amazed, astonishment.
-mere	() A combining form meaning part, portion; as, blastomere, epimere.
-meter	() A suffix denoting that by which anything is measured; as, barometer, chronometer, dynamometer.
-metry	() A suffix denoting the art, process, or science, of measuring; as, acidmetry, chlorometry, chronometry.
-mi	(pl. ) of Centesimo
-mo	() A suffix added to the names of certain numerals or to the numerals themselves, to indicate the number of leaves made by folding a sheet of paper; as, sixteenmo or 16mo; eighteenmo or 18mo. It is taken from the Latin forms similarly used; as, duodecimo, sextodecimo, etc. A small circle, placed after the number and near its top, is often used for -mo; as, 16 , 18 , etc.
-morphous	() A combining form denoting form, shape; as, isomorphous.
-nea	(pl. ) of Calcaneum
-ness	() A suffix used to form abstract nouns expressive of quality or state; as, goodness, greatness.
-neums	(pl. ) of Calcaneum
-nies	(pl. ) of Theophany
-ock	() A suffix used to form diminutives; as, bullock, hillock.
-oid	() A suffix or combining form meaning like, resembling, in the form of; as in anthropoid, asteroid, spheroid.
-ol	() A suffix denoting that the substance in the name of which it appears belongs to the series of alcohols or hydroxyl derivatives, as carbinol, glycerol, etc.
-oma	() A suffix used in medical terms to denote a morbid condition of some part, usually some kind of tumor; as in fibroma, glaucoma.
-one	() A suffix indicating that the substance, in the name of which it appears, is a ketone; as, acetone.
-one	() A termination indicating that the hydrocarbon to the name of which it is affixed belongs to the fourth series of hydrocarbons, or the third series of unsaturated hydrocarbonsl as, nonone.
-or	() A noun suffix denoting an act; a state or quality; as in error, fervor, pallor, candor, etc.
-or	() A noun suffix denoting an agent or doer; as in auditor, one who hears; donor, one who gives; obligor, elevator. It is correlative to -ee. In general -or is appended to words of Latin, and -er to those of English, origin. See -er.
-ory	() An adjective suffix meaning of or pertaining to, serving for; as in auditory, pertaining to or serving for hearing; prohibitory, amendatory, etc.
-ory	() A noun suffix denoting that which pertains to, or serves for; as in ambulatory, that which serves for walking; consistory, factory, etc.
-ose	() A suffix denoting full of, containing, having the qualities of, like; as in verbose, full of words; pilose, hairy; globose, like a globe.
-ose	() A suffix indicating that the substance to the name of which it is affixed is a member of the carbohydrate group; as in cellulose, sucrose, dextrose, etc.
-our	() See -or.
-ous	() An adjective suffix meaning full of, abounding in, having, possessing the qualities of, like; as in gracious, abounding in grace; arduous, full of ardor; bulbous, having bulbs, bulblike; riotous, poisonous, piteous, joyous, etc.
-ous	() A suffix denoting that the element indicated by the name bearing it, has a valence lower than that denoted by the termination -ic; as, nitrous, sulphurous, etc., as contrasted with nitric, sulphuric, etc.
-prossed	(imp. & p. p.) of Nol-pros
-prossing	(p. pr. & vb. n.) of Nol-pros
-retted	(a.) Containing two atoms or equivalents of carbon in the molecule.
-ria	(pl. ) of Sacrarium
-ric	() A suffix signifying dominion, jurisdiction; as, bishopric, the district over which a bishop exercises authority.
-ries	(pl. ) of Bursary
-ries	(pl. ) of Lectionary
-ries	(pl. ) of Limitary
-ries	(pl. ) of Manufactory
-ries	(pl. ) of Masticatory
-ries	(pl. ) of Ossuary
-ries	(pl. ) of Ostiary
-ries	(pl. ) of Reformatory
-ries	(pl. ) of Refrigeratory
-ries	(pl. ) of Reliquary
-ries	(pl. ) of Responsory
-ries	(pl. ) of Sacramentary
-ries	(pl. ) of Signatory
-ries	(pl. ) of Stationary
-ries	(pl. ) of Stillatory
-s	() The suffix used to form the plural of most words; as in roads, elfs, sides, accounts.
-s	() The suffix used to form the third person singular indicative of English verbs; as in falls, tells, sends.
-s	() An adverbial suffix; as in towards, needs, always, -- originally the genitive, possesive, ending. See -'s.
-scope	() A combining form usually signifying an instrument for viewing (with the eye) or observing (in any way); as in microscope, telescope, altoscope, anemoscope.
-ses	(pl. ) of Apophysis
-ship	(n.) A suffix denoting state, office, dignity, profession, or art; as in lordship, friendship, chancellorship, stewardship, horsemanship.
-some	() A combining form or suffix from Gr. sw^ma (gen. sw`matos) the body; as in merosome, a body segment; cephalosome, etc.
-some	(a.) An adjective suffix having primarily the sense of like or same, and indicating a considerable degree of the thing or quality denoted in the first part of the compound; as in mettlesome, full of mettle or spirit; gladsome, full of gladness; winsome, blithesome, etc.
-soria	(pl. ) of Ostensory
-sories	(pl. ) of Ostensory
-sporangia	(pl. ) of Zoosporangium
-staffs	(pl. ) of Flagstaff
-staves	(pl. ) of Flagstaff
-ster	() A suffix denoting the agent (originally a woman), especially a person who does something with skill or as an occupation; as in spinster (originally, a woman who spins), songster, baxter (= bakester), youngster.
-strucken	() of Thunderstrike
-ti	(pl. ) of Divertimento
-ties	(pl. ) of Incompatibility
-ties	(pl. ) of Magistrality
-ties	(pl. ) of Rationality
-ties	(pl. ) of Responsibility
-ties	(pl. ) of Similarity
-ties	(pl. ) of Subvariety
-tos	(pl. ) of Vigesimo-quarto
-tre	(n.) The point of intersection of a vertical line through the center of gravity of the fluid displaced by a floating body which is tipped through a small angle from its position of equilibrium, and the inclined line which was vertical through the center of gravity of the body when in equilibrium.
-trices	(pl. ) of Impropriatrix
-trices	(pl. ) of Quadratrix
-trices	(pl. ) of Separatrix
-tries	(pl. ) of Baptistry
-tries	(pl. ) of Trigonometry
-trixes	(pl. ) of Impropriatrix
-trixes	(pl. ) of Quadratrix
-trixes	(pl. ) of Separatrix
-tyla	(pl. ) of Hypodactylum
-type	(n.) A combining form signifying impressed form; stamp; print; type; typical form; representative; as in stereotype phototype, ferrotype, monotype.
-ums	(pl. ) of Monopodium
-uret	() A suffix with the same meaning as -ide. See -ide.
-vetted	() of Curvet
-vetting	() of Curvet
-ward	(v. i.) Alt. of -wards
-wards	(v. i.) Suffixes denoting course or direction to; motion or tendency toward; as in backward, or backwards; toward, or towards, etc.
-wards	() See -ward.
-ways	() A suffix formed from way by the addition of the adverbial -s (see -wards). It is often used interchangeably with wise; as, endways or endwise; noways or nowise, etc.
-women	(pl. ) of Bedeswoman
-yl	() A suffix used as a characteristic termination of chemical radicals; as in ethyl, carbonyl, hydroxyl, etc.
a	() The first letter of the English and of many other alphabets. The capital A of the alphabets of Middle and Western Europe, as also the small letter (a), besides the forms in Italic, black letter, etc., are all descended from the old Latin A, which was borrowed from the Greek Alpha, of the same form; and this was made from the first letter (/) of the Phoenician alphabet, the equivalent of the Hebrew Aleph, and itself from the Egyptian origin. The Aleph was a consonant letter, with a guttural breath sound that was not an element of Greek articulation; and the Greeks took it to represent their vowel Alpha with the a sound, the Phoenician alphabet having no vowel symbols.
a	() The name of the sixth tone in the model major scale (that in C), or the first tone of the minor scale, which is named after it the scale in A minor. The second string of the violin is tuned to the A in the treble staff. -- A sharp (A/) is the name of a musical tone intermediate between A and B. -- A flat (A/) is the name of a tone intermediate between A and G.
a	() An adjective, commonly called the indefinite article, and signifying one or any, but less emphatically.
a	() In each; to or for each; as, "twenty leagues a day", "a hundred pounds a year", "a dollar a yard", etc.
a	(prep.) In; on; at; by.
a	(prep.) In process of; in the act of; into; to; -- used with verbal substantives in -ing which begin with a consonant. This is a shortened form of the preposition an (which was used before the vowel sound); as in a hunting, a building, a begging.
a	() Of.
a	() A barbarous corruption of have, of he, and sometimes of it and of they.
a	() An expletive, void of sense, to fill up the meter
a 1	() A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A 3.
a b c	() The first three letters of the alphabet, used for the whole alphabet.
a b c	() A primer for teaching the alphabet and first elements of reading.
a b c	() The simplest rudiments of any subject; as, the A B C of finance.
a cappella	() In church or chapel style; -- said of compositions sung in the old church style, without instrumental accompaniment; as, a mass a capella, i. e., a mass purely vocal.
a cappella	() A time indication, equivalent to alla breve.
a fortiori	() With stronger reason.
a mensa et thoro	() A kind of divorce which does not dissolve the marriage bond, but merely authorizes a separate life of the husband and wife.
a posteriori	() Characterizing that kind of reasoning which derives propositions from the observation of facts, or by generalizations from facts arrives at principles and definitions, or infers causes from effects. This is the reverse of a priori reasoning.
a posteriori	() Applied to knowledge which is based upon or derived from facts through induction or experiment; inductive or empirical.
a priori	() Characterizing that kind of reasoning which deduces consequences from definitions formed, or principles assumed, or which infers effects from causes previously known; deductive or deductively. The reverse of a posteriori.
a priori	() Applied to knowledge and conceptions assumed, or presupposed, as prior to experience, in order to make experience rational or possible.
a-	() A, as a prefix to English words, is derived from various sources. (1) It frequently signifies on or in (from an, a forms of AS. on), denoting a state, as in afoot, on foot, abed, amiss, asleep, aground, aloft, away (AS. onweg), and analogically, ablaze, atremble, etc. (2) AS. of off, from, as in adown (AS. ofd/ne off the dun or hill). (3) AS. a- (Goth. us-, ur-, Ger. er-), usually giving an intensive force, and sometimes the sense of away, on, back, as in arise, abide, ago. (4) Old English y- or i- (corrupted from the AS. inseparable particle ge-, cognate with OHG. ga-, gi-, Goth. ga-), which, as a prefix, made no essential addition to the meaning, as in aware. (5) French a (L. ad to), as in abase, achieve. (6) L. a, ab, abs, from, as in avert. (7) Greek insep. prefix / without, or privative, not, as in abyss, atheist; akin to E. un-.
a-mornings	(adv.) In the morning; every morning.
a-sea	(adv.) On the sea; at sea; toward the sea.
a-tiptoe	(adv.) On tiptoe; eagerly expecting.
aam	(n.) A Dutch and German measure of liquids, varying in different cities, being at Amsterdam about 41 wine gallons, at Antwerp 36 1/2, at Hamburg 38 1/4.
aard-vark	(n.) An edentate mammal, of the genus Orycteropus, somewhat resembling a pig, common in some parts of Southern Africa. It burrows in the ground, and feeds entirely on ants, which it catches with its long, slimy tongue.
aard-wolf	(n.) A carnivorous quadruped (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles.
aaron's rod	() A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two.
aaron's rod	() A plant with a tall flowering stem; esp. the great mullein, or hag-taper, and the golden-rod.
aaronic	(a.) Alt. of Aaronical
aaronical	(a.) Pertaining to Aaron, the first high priest of the Jews.
ab	(n.) The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August.
ab-	() A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6).
abaca	(n.) The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila.
abaci	(pl. ) of Abacus
abacinate	(v. t.) To blind by a red-hot metal plate held before the eyes.
abacination	(n.) The act of abacinating.
abaciscus	(n.) One of the tiles or squares of a tessellated pavement; an abaculus.
abacist	(n.) One who uses an abacus in casting accounts; a calculator.
aback	(adv.) Toward the back or rear; backward.
aback	(adv.) Behind; in the rear.
aback	(adv.) Backward against the mast; -- said of the sails when pressed by the wind.
aback	(n.) An abacus.
abactinal	(a.) Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal.
abaction	(n.) Stealing cattle on a large scale.
abactor	(n.) One who steals and drives away cattle or beasts by herds or droves.
abaculi	(pl. ) of Abaculus
abaculus	(n.) A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements.
abacus	(n.) A table or tray strewn with sand, anciently used for drawing, calculating, etc.
abacus	(n.) A calculating table or frame; an instrument for performing arithmetical calculations by balls sliding on wires, or counters in grooves, the lowest line representing units, the second line, tens, etc. It is still employed in China.
abacus	(n.) The uppermost member or division of the capital of a column, immediately under the architrave. See Column.
abacus	(n.) A tablet, panel, or compartment in ornamented or mosaic work.
abacus	(n.) A board, tray, or table, divided into perforated compartments, for holding cups, bottles, or the like; a kind of cupboard, buffet, or sideboard.
abacuses	(pl. ) of Abacus
abada	(n.) The rhinoceros.
abaddon	(n.) The destroyer, or angel of the bottomless pit; -- the same as Apollyon and Asmodeus.
abaddon	(n.) Hell; the bottomless pit.
abaft	(prep.) Behind; toward the stern from; as, abaft the wheelhouse.
abaft	(adv.) Toward the stern; aft; as, to go abaft.
abaisance	(n.) Obeisance.
abaiser	(n.) Ivory black or animal charcoal.
abaist	(p. p.) Abashed; confounded; discomfited.
abalienate	(v. t.) To transfer the title of from one to another; to alienate.
abalienate	(v. t.) To estrange; to withdraw.
abalienate	(v. t.) To cause alienation of (mind).
abalienation	(n.) The act of abalienating; alienation; estrangement.
abalone	(n.) A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl, and used for ornamental purposes; the sea-ear. Several large species are found on the coast of California, clinging closely to the rocks.
aband	(v. t.) To abandon.
aband	(v. t.) To banish; to expel.
abandon	(v. t.) To cast or drive out; to banish; to expel; to reject.
abandon	(v. t.) To give up absolutely; to forsake entirely ; to renounce utterly; to relinquish all connection with or concern on; to desert, as a person to whom one owes allegiance or fidelity; to quit; to surrender.
abandon	(v. t.) Reflexively: To give (one's self) up without attempt at self-control; to yield (one's self) unrestrainedly; -- often in a bad sense.
abandon	(v. t.) To relinquish all claim to; -- used when an insured person gives up to underwriters all claim to the property covered by a policy, which may remain after loss or damage by a peril insured against.
abandon	(v.) Abandonment; relinquishment.
abandon	(n.) A complete giving up to natural impulses; freedom from artificial constraint; careless freedom or ease.
abandoned	(imp. & p. p.) of Abandon
abandoned	(a.) Forsaken, deserted.
abandoned	(a.) Self-abandoned, or given up to vice; extremely wicked, or sinning without restraint; irreclaimably wicked ; as, an abandoned villain.
abandonedly	(adv.) Unrestrainedly.
abandonee	(n.) One to whom anything is legally abandoned.
abandoner	(n.) One who abandons.
abandoning	(p. pr. & vb. n.) of Abandon
abandonment	(n.) The act of abandoning, or the state of being abandoned; total desertion; relinquishment.
abandonment	(n.) The relinquishment by the insured to the underwriters of what may remain of the property insured after a loss or damage by a peril insured against.
abandonment	(n.) The relinquishment of a right, claim, or privilege, as to mill site, etc.
abandonment	(n.) The voluntary leaving of a person to whom one is bound by a special relation, as a wife, husband, or child; desertion.
abandonment	(n.) Careless freedom or ease; abandon.
abandum	(n.) Anything forfeited or confiscated.
abanet	(n.) See Abnet.
abanga	(n.) A West Indian palm; also the fruit of this palm, the seeds of which are used as a remedy for diseases of the chest.
abannation	(n.) Alt. of Abannition
abannition	(n.) Banishment.
abarticulation	(n.) Articulation, usually that kind of articulation which admits of free motion in the joint; diarthrosis.
abase	(a.) To lower or depress; to throw or cast down; as, to abase the eye.
abase	(a.) To cast down or reduce low or lower, as in rank, office, condition in life, or estimation of worthiness; to depress; to humble; to degrade.
abased	(imp. & p. p.) of Abase
abased	(a.) Lowered; humbled.
abased	(a.) Borne lower than usual, as a fess; also, having the ends of the wings turned downward towards the point of the shield.
abasedly	(adv.) Abjectly; downcastly.
abasement	(n.) The act of abasing, humbling, or bringing low; the state of being abased or humbled; humiliation.
abaser	(n.) He who, or that which, abases.
abash	(v. t.) To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit.
abashed	(imp. & p. p.) of Abash
abashedly	(adv.) In an abashed manner.
abashing	(p. pr. & vb. n.) of Abash
abashment	(n.) The state of being abashed; confusion from shame.
abasing	(p. pr. & vb. n.) of Abase
abassi	(n.) Alt. of Abassis
abassis	(n.) A silver coin of Persia, worth about twenty cents.
abatable	(a.) Capable of being abated; as, an abatable writ or nuisance.
abate	(v. t.) To beat down; to overthrow.
abate	(v. t.) To bring down or reduce from a higher to a lower state, number, or degree; to lessen; to diminish; to contract; to moderate; to cut short; as, to abate a demand; to abate pride, zeal, hope.
abate	(v. t.) To deduct; to omit; as, to abate something from a price.
abate	(v. t.) To blunt.
abate	(v. t.) To reduce in estimation; to deprive.
abate	(v. t.) To bring entirely down or put an end to; to do away with; as, to abate a nuisance, to abate a writ.
abate	(v. t.) To diminish; to reduce. Legacies are liable to be abated entirely or in proportion, upon a deficiency of assets.
abate	(v. t.) To decrease, or become less in strength or violence; as, pain abates, a storm abates.
abate	(v. t.) To be defeated, or come to naught; to fall through; to fail; as, a writ abates.
abate	(n.) Abatement.
abated	(imp. & p. p.) of Abate
abatement	(n.) The act of abating, or the state of being abated; a lessening, diminution, or reduction; removal or putting an end to; as, the abatement of a nuisance is the suppression thereof.
abatement	(n.) The amount abated; that which is taken away by way of reduction; deduction; decrease; a rebate or discount allowed.
abatement	(n.) A mark of dishonor on an escutcheon.
abatement	(n.) The entry of a stranger, without right, into a freehold after the death of the last possessor, before the heir or devisee.
